nr,ES_ID,Comp_ID,Exp_ID,Study_ID,First_author,Year,J_abbr_name,animal,Strain,Dam_choice_diet,Dam_diet_start_exp_dPC,Dam_diet_end_exp_dPC,Dam_diet_lactation_incl,Dam_diet_duration,Dam_diet_code_contr,Dam_diet_contr_E,Dam_diet_contr_PNP_kcal,Dam_diet_code_exp,Dam_diet_exp_E,Dam_diet_exp_PNP_kcal,Offspr_diet_code,Offspr_diet_E,Offspr_diet_PNP_kcal,Offspr_diet_prot_pww,Offspr_diet_start_dPC,Litter_size_equalized,Offspr_crossfosterd,Offspr_sex,Bodyweight_mean_contr,Bodyweight_N_contr,Bodyweight_mean_exp,Bodyweight_N_exp,AbsIntake_mean_contr,AbsIntake_N_contr,AbsIntake_mean_exp,AbsIntake_N_exp,RelIntake_mean_contr,RelIntake_N_contr,RelIntake_mean_exp,RelIntake_N_exp,RelIntake2_mean_contr,RelIntake2_mean_exp,Bodyweight_SE_contr,Bodyweight_SE_exp,AbsIntake_SE_contr,AbsIntake_SE_exp,RelIntake_SE_contr,RelIntake_SE_exp,RelIntake2_SE_contr,RelIntake2_SE_exp,Intake_age_dPC,Intake_duration,TBodyweight_age_dPC,Offspr_data_source,Comments,Original_measur_units,Suppl_files,Bodyweight_SD_contr,Bodyweight_SD_exp,AbsIntake_SD_contr,AbsIntake_SD_exp,RelIntake_SD_contr,RelIntake_SD_exp,RelIntake2_SD_contr,RelIntake2_SD_exp,Bodyweight_Cd,Bodyweight_Cd_Var,Bodyweight_Hd,Bodyweight_Hd_Var,AbsIntake_Cd,AbsIntake_Cd_Var,AbsIntake_Hd,AbsIntake_Hd_Var,RelIntake_Cd,RelIntake_Cd_Var,RelIntake_Hd,RelIntake_Hd_Var,RelIntake2_Cd,RelIntake2_Cd_Var,RelIntake2_Hd,RelIntake2_Hd_Var,Exp_ID_sex,shared_control,within_exp_id,control_id,Bodyweight_N_total,Intake_N_total,Bodyweight_Hd_Var_adj,RelIntake2_Hd_Var_adj,Bodyweight_Hd_Var_combined,RelIntake2_Hd_Var_combined
1,ES284,"Comp1280,Comp1281,Comp1282,Comp1283,Comp1284,Comp1285,Comp1286,Comp1287,Comp1288,Comp1289,Comp1290,Comp1291,Comp1292,Comp1293,Comp1294,Comp1295,Comp1296,Comp1297,Comp1298,Comp1299",Exp152,Study100,Desai,2014,Am J Obstet Gynecol,rat,Sprague-Dawley,0,-56,21,0,77,58Y2,3.771,0.224748295,58Y1,5.101,0.221211396,58Y2,3.771,0.224748295,17.3,42,yes,yes,M,501.6155,16,493.9395,16,98.1185,16,103.071,16,0.21172,16,0.22795,16,0.9684,1.03455,12.13692486,11.88631482,2.926954902,2.721765971,0.007214257,0.007413097,0.033583478,0.033977934,189,140,189,"Fig5, Fig4",CC vs. HFCon; ,g/day,calculations_MAME_FB_Comp1260_1339,48.54769943,47.54525928,11.70781961,10.88706388,0.028857027,0.029652386,0.134333912,0.135911736,-0.1598,0.1254,-0.1557,0.1192,0.4381,0.128,0.427,0.1216,0.5547,0.1298,0.5407,0.1233,0.4895,0.1287,0.4772,0.1223,Exp152_M,1,1,Exp152_M_1_SC,48,48,0.125252526,0.127372082,0.125252526,0.127372082
2,ES283,"Comp1260,Comp1261,Comp1262,Comp1263,Comp1264,Comp1265,Comp1266,Comp1267,Comp1268,Comp1269,Comp1270,Comp1271,Comp1272,Comp1273,Comp1274,Comp1275,Comp1276,Comp1277,Comp1278,Comp1279",Exp152,Study100,Desai,2014,Am J Obstet Gynecol,rat,Sprague-Dawley,0,-56,42,1,98,58Y2,3.771,0.224748295,58Y1,5.101,0.221211396,58Y2,3.771,0.224748295,17.3,42,yes,yes,M,501.6155,16,593.3765,16,98.1185,16,119.4165,16,0.21172,16,0.21778,16,0.9684,1.0385,12.13692486,16.59145473,2.926954902,3.852830129,0.007214257,0.008126654,0.033583478,0.039741666,189,140,189,"Fig5, Fig4",CC vs. HFHF; ,g/day,calculations_MAME_FB_Comp1260_1339,48.54769943,66.36581891,11.70781961,15.41132051,0.028857027,0.032506615,0.134333912,0.158966663,1.5782,0.1639,1.5384,0.1558,1.5563,0.1628,1.517,0.1547,0.1972,0.1256,0.1922,0.1194,0.4763,0.1285,0.4643,0.1221,Exp152_M,1,2,Exp152_M_1_SC,48,48,0.14965286,0.127245568,0.14965286,0.127245568
3,ES285,"Comp1300,Comp1301,Comp1302,Comp1303,Comp1304,Comp1305,Comp1306,Comp1307,Comp1308,Comp1309,Comp1310,Comp1311,Comp1312,Comp1313,Comp1314,Comp1315,Comp1316,Comp1317,Comp1318,Comp1319",Exp152,Study100,Desai,2014,Am J Obstet Gynecol,rat,Sprague-Dawley,0,-56,42,1,98,58Y2,3.771,0.224748295,58Y1,5.101,0.221211396,58Y2,3.771,0.224748295,17.3,42,yes,yes,F,298.6775,16,336.5355,16,69.961,16,73.1895,16,0.245495,16,0.227075,16,1.0015,0.95515,9.166164956,9.300661267,1.828930015,2.512907678,0.009488836,0.009553769,0.038541536,0.040334229,189,140,189,"Fig5, Fig4",CC vs. HFHF; ,g/day,calculations_MAME_FB_Comp1260_1339,36.66465982,37.20264507,7.31572006,10.05163071,0.037955342,0.038215076,0.154166144,0.161336915,1.025,0.1414,0.9992,0.1344,0.3673,0.1271,0.358,0.1208,-0.4836,0.1287,-0.4715,0.1222,-0.2937,0.1263,-0.2863,0.1201,Exp152_F,1,1,Exp152_F_1_SC,48,48,0.135400007,0.12585383,0.135400007,0.12585383
4,ES286,"Comp1320,Comp1321,Comp1322,Comp1323,Comp1324,Comp1325,Comp1326,Comp1327,Comp1328,Comp1329,Comp1330,Comp1331,Comp1332,Comp1333,Comp1334,Comp1335,Comp1336,Comp1337,Comp1338,Comp1339",Exp152,Study100,Desai,2014,Am J Obstet Gynecol,rat,Sprague-Dawley,0,-56,21,0,77,58Y2,3.771,0.224748295,58Y1,5.101,0.221211396,58Y2,3.771,0.224748295,17.3,42,yes,yes,F,298.6775,16,282.0845,16,69.961,16,70.9365,16,0.245495,16,0.262295,16,1.0015,1.05565,290.4738193,10.11239116,1.828930015,2.515725541,0.234506925,0.011990163,0.949100548,0.049088186,189,140,189,"Fig5, Fig4",CC vs. HFCon; ,g/day,calculations_MAME_FB_Comp1260_1339,1161.895277,40.44956465,7.31572006,10.06290217,0.938027701,0.047960651,3.796402192,0.196352744,-0.0202,0.125,-0.0197,0.1188,0.1109,0.1252,0.1081,0.119,0.0253,0.125,0.0247,0.1188,0.0201,0.125,0.0196,0.1188,Exp152_F,1,2,Exp152_F_1_SC,48,48,0.125004043,0.125004002,0.125004043,0.125004002
5,ES303,Comp1434,Exp160,Study108,Magliano,2013,Plos ONE,mouse,C57BL/6J,0,-56,42,1,98,AIN93G,3.966,0.232442511,AIN93G_HF,4.95,0.228287841,AIN93G,3.966,0.232442511,18.7,42,,no,M,26.61,10,29.31,10,8.83,10,10.71,10,0.3318,10,0.3654,10,0.754,0.85,0.55,0.42,0.27,0.29,0.0122,0.0111,0.028,0.026,126,14,126,Tab4,SC vs. HF; ,g/day,,1.739252713,1.328156617,0.853814968,0.917060521,0.038579787,0.035101282,0.088543774,0.082219219,1.7448,0.2761,1.6711,0.2533,2.1219,0.3126,2.0322,0.2867,0.911,0.2207,0.8725,0.2025,1.1236,0.2316,1.0761,0.2124,Exp160_M,0,1,Exp160_M_0_1,20,20,0.26981438,0.22894978,0.277571534,0.232166423
6,ES309,Comp1464,Exp163,Study111,Ornellas,2013,Life Sci,mouse,C57BL/6J,1,-22,42,0,64,AIN93G,3.966,0.232442511,AIN93G_HF,4.95,0.228287841,AIN93G,3.966,0.232442511,18.7,42,yes,no,M,21.25,5,24.28,5,9.41,10,11.28,10,0.4429,10,0.4646,10,0.951,1.031,0.55,0.47,0.05,0.09,0.0116,0.0099,0.025,0.022,105,63,105,"Tab3, Fig3",Mo-SC vs. Mo-HF; ,g/day,calculations_MAME_FB_Comp1464to1465,1.229837388,1.050951949,0.158113883,0.284604989,0.036682421,0.031306549,0.079056942,0.069570109,2.6488,0.7508,2.3925,0.6125,8.1228,1.8495,7.7795,1.6965,0.6364,0.2101,0.6095,0.1927,1.0743,0.2289,1.0289,0.2099,Exp163_M,0,1,Exp163_M_0_1,10,20,0.686202813,0.22646588,0.757753516,0.229406534
7,ES310,Comp1465,Exp163,Study111,Ornellas,2013,Life Sci,mouse,C57BL/6J,1,-22,42,0,64,AIN93G,3.966,0.232442511,AIN93G_HF,4.95,0.228287841,AIN93G,3.966,0.232442511,18.7,42,yes,no,F,15.24,5,18.62,5,7.63,10,9.08,10,0.5008,10,0.4876,10,0.989,1.013,0.37,0.28,0.07,0.09,0.0131,0.0089,0.026,0.018,105,63,105,"Tab3, Fig3",Mo-SC vs. Mo-HF; ,g/day,calculations_MAME_FB_Comp1464to1465,0.827345152,0.626099034,0.221359436,0.284604989,0.041425837,0.028144271,0.082219219,0.056920998,4.6071,1.4613,4.1612,1.1921,5.6874,1.0087,5.4471,0.9252,-0.3727,0.2035,-0.357,0.1866,0.3394,0.2029,0.3251,0.1861,Exp163_F,0,1,Exp163_F_0_1,10,20,1.265779272,0.20264225,1.48222409,0.202935834
8,ES329,"Comp1537,Comp1538,Comp1539,Comp1540,Comp1541,Comp1542,Comp1543,Comp1544,Comp1545",Exp175,Study121,Zhang,2011,J Nutr,rat,Sprague-Dawley,0,0,42,1,42,AIN93G,3.966,0.232442511,D12451,4.76,0.252631579,AIN93G,3.966,0.232442511,18.7,42,yes,no,M,303.0966667,10,307.38,9,84.95555556,10,85.52888889,9,0.372955556,10,0.345811111,9,1.382555556,1.319555556,18.3080292,17.01231613,4.451954627,5.70611368,0.071470857,0.056892638,0.218310177,0.183076183,105,63,105,SFig1,C/C vs.HF/C; control diet specification does not match manufactured - used closest by composition US diet,g/day,calculations_MAME_FB_Comp1537to1545,57.89507175,51.03694838,14.07831666,17.11834104,0.226010693,0.170677913,0.690357395,0.54922855,0.0782,0.2113,0.0747,0.1928,0.0368,0.2111,0.0351,0.1927,-0.1345,0.2116,-0.1284,0.1931,-0.1003,0.2114,-0.0958,0.1929,Exp175_M,0,1,Exp175_M_0_1,19,19,0.211257956,0.211352628,0.211275231,0.211381042
9,ES102,"Comp0493,Comp0495",Exp055,Study039,Chang,2008,J Neurosci,rat,Sprague-Dawley,0,6,43,1,37,BD_US1,4.2,0.235294118,HFD_US2,5.148,0.181818182,BD_US1,4.2,0.235294118,20,43,yes,no,M,228.045,6,290.6,6,73.865,6,95.095,6,0.4,6,0.38565,6,1.409,1.481,17.37767677,16.22681885,11.79245946,10.75759267,0.085048839,0.047735312,0.418807832,0.252456927,92,41,92,Fig1,BD vs HF; no exact number of dams or their age,kcal/day,calculations_MAME_FB_Comp0493to0496,42.56644101,39.74742633,28.88550848,26.3506129,0.208326259,0.116927157,1.025865488,0.618390653,1.519,0.4295,1.4022,0.3659,0.7679,0.3579,0.7088,0.305,-0.0849,0.3336,-0.0784,0.2843,0.085,0.3336,0.0785,0.2843,Exp055_M,1,1,Exp055_M_1_SC,18,18,0.387949023,0.333504507,0.387949023,0.333504507
10,ES103,"Comp0494,Comp0496",Exp055,Study039,Chang,2008,J Neurosci,rat,Sprague-Dawley,0,6,22,0,16,BD_US1,4.2,0.235294118,HFD_US2,5.148,0.181818182,BD_US1,4.2,0.235294118,20,21,yes,yes,M,228.045,6,270.125,6,73.865,6,85.7,6,0.4,6,0.40355,6,1.409,1.468,17.37767677,13.80394147,11.79245946,9.841016208,0.085048839,0.064694745,0.418807832,0.296057427,92,41,92,Fig1,BD vs HFD-BD; no exact number of dams or their age,kcal/day,calculations_MAME_FB_Comp0493to0496,42.56644101,33.81261303,28.88550848,24.10546826,0.208326259,0.158469114,1.025865488,0.72518963,1.0947,0.3833,1.0105,0.3266,0.4449,0.3416,0.4107,0.2911,0.0192,0.3333,0.0177,0.284,0.0664,0.3335,0.0613,0.2842,Exp055_M,1,2,Exp055_M_1_SC,18,18,0.361697507,0.333437714,0.361697507,0.333437714
11,ES051,Comp0147,Exp023,Study021,Chen,2009,Plos ONE,rat,Sprague-Dawley,1,-35,42,1,77,stdGSSAU1,2.629,0.265767935,cafHFDAU1,3.657,0.214983713,cafHFDAU1,3.657,0.214983713,16.5,42,yes,yes,FM,690.6,12,706.6,12,162.98,12,161.1,10,0.236,12,0.228,10,1.21,1.176,26.3,24.8,16.41,15.22,0.022,0.02,0.13,0.118,148,1,52,Tab3,"CS HFD vs. HS HFD, body weight Tab3; ",kcal/day,calculations_MAME_FB_Comp0144to0150,91.10587248,85.90972006,56.8459075,48.12986599,0.076210236,0.063245553,0.45033321,0.373148764,0.1807,0.1673,0.1745,0.156,-0.0354,0.1834,-0.0341,0.1697,-0.1132,0.1836,-0.1089,0.1699,-0.0815,0.1835,-0.0784,0.1698,Exp023_FM,0,1,Exp023_FM_0_1,24,22,0.167301047,0.183473028,0.167358718,0.183486997
12,ES054,Comp0150,Exp025,Study023,Rajia,2010,J Neuroendocrinol,rat,Sprague-Dawley,1,-35,42,1,77,stdGSSAU1,2.629,0.265767935,cafHFDAU1,3.657,0.214983713,cafHFDAU1,3.657,0.214983713,16.5,42,no,no,M,353.71,10,425.62,10,165.89,14,185.57,15,0.469,14,0.436,15,2.034,1.98,2.7,4.49,2.17,4.3,0.005,0.009,0.031,0.05,127,80,92,Tab3,CNH vs. HNH; body weight Fig1B at 10 weeks,kcal/day,calculations_MAME_FB_Comp0144to0150,8.538149682,14.19862669,8.119396529,16.65382839,0.018708287,0.03485685,0.115991379,0.193649167,6.1381,1.1419,5.8787,1.0474,1.4853,0.1761,1.4437,0.1664,-1.1678,0.1616,-1.1351,0.1527,-0.3354,0.14,-0.326,0.1323,Exp025_M,0,1,Exp025_M_0_1,20,29,1.063977842,0.139927583,1.15997538,0.140063312
13,ES050,Comp0146,Exp023,Study021,Chen,2009,Plos ONE,rat,Sprague-Dawley,1,-35,42,1,77,stdGSSAU1,2.629,0.265767935,cafHFDAU1,3.657,0.214983713,cafHFDAU1,3.657,0.214983713,16.5,42,yes,yes,FM,573.3,12,603.7,12,142.18,12,138.25,11,0.248,12,0.229,11,1.214,1.135,20.3,23.5,14.11,13.22,0.023,0.02,0.128,0.117,148,1,52,Tab3,"CN HFD vs. HN HFD, body weight Tab3; ",kcal/day,calculations_MAME_FB_Comp0144to0150,70.32126279,81.40638796,48.87847379,43.84577973,0.079674337,0.066332496,0.443405007,0.3880451,0.3997,0.17,0.3859,0.1585,-0.0844,0.1744,-0.0814,0.162,-0.2581,0.1757,-0.2487,0.1632,-0.189,0.175,-0.1822,0.1626,Exp023_FM,0,2,Exp023_FM_0_2,24,23,0.169769142,0.174964095,0.170051185,0.175032825
14,ES314,Comp1469,Exp165,Study113,Rajia,2012,thesis,rat,Sprague-Dawley,1,-35,41,1,76,stdGSSAU1,2.629,0.265767935,cafHFDAU1,3.657,0.214983713,cafHFDAU1,3.657,0.214983713,16.5,42,no,no,F,232.39,14,247.56,10,114.01,14,139.99,10,0.4906,14,0.5655,10,1.916,2.243,3,3,116.02,141.39,0.4993,0.5712,1.949,2.266,116,70,92,"Fig5.5B, Fig5.1",CNH vs. HNH; mean body weight betweeweeks 5 and 15 calculatedfrom Fig 5.1,kcal/day,calculations_MAME_FB_Comp1468to1469,11.22497216,9.486832981,434.10709,447.1144384,1.868209533,1.806292999,7.292490247,7.165721178,1.4381,0.2145,1.3885,0.2,0.0591,0.1715,0.0571,0.1599,0.0406,0.1715,0.0392,0.1598,0.0452,0.1715,0.0436,0.1598,Exp165_F,0,1,Exp165_F_0_1,24,24,0.211593827,0.171468175,0.215245213,0.171471775
