Nr,ES_ID,Comp_ID,Exp_ID,Study_ID,Shared_control,Within_exp_id,Control_id,First_author,Year,J_abbr_name,animal,Strain,Dam_diet_choice_chow,Dam_diet_start_exp_dPC,Dam_diet_end_exp_dPC,Dam_diet_lactation_incl,Dam_diet_duration,Dam_diet_contr_code,Dam_diet_contr_E,Dam_diet_contr_PNP,Dam_diet_exp_code,Dam_diet_exp_E,Dam_diet_exp_PNP,Offspr_diet_code,Offspr_diet_E,Offspr_diet_PNP,Offspr_diet_start_dPC,Litter_size_equalized,Offspr_crossfosterd,Offspr_sex,FoodIntake_age_dPC,Bodyweight_age_dPC,Measurement_duration,FoodIntake_mean_contr,FoodIntake_SD_contr,FoodIntake_N_contr,FoodIntake_mean_exp,FoodIntake_SD_exp,FoodIntake_N_exp,FoodIntake_Cd,FoodIntake_Cd_Var,FoodIntake_Hd,FoodIntake_Hd_Var,FoodIntake_Hd_Var_combined,FoodIntake_N_total,Bodyweight_mean_contr,Bodyweight_SD_contr,Bodyweight_N_contr,Bodyweight_mean_exp,Bodyweight_SD_exp,Bodyweight_N_exp,Bodyweight_Cd,Bodyweight_Cd_Var,Bodyweight_Hd,Bodyweight_Hd_Var,Bodyweight_Hd_Var_combined,Bodyweight_N_total,Offspr_data_source,Paper_measur_type,Comments
1,ES284,"Comp1280,Comp1281,Comp1282,Comp1283,Comp1284,Comp1285,Comp1286,Comp1287,Comp1288,Comp1289,Comp1290,Comp1291,Comp1292,Comp1293,Comp1294,Comp1295,Comp1296,Comp1297,Comp1298,Comp1299",Exp152,Study100,yes,1,Exp152_M_1_SC,Desai,2014,Am J Obstet Gynecol,rat,Sprague-Dawley,chow,-56,21,no,77,58Y2,3.771,0.224748295,58Y1,5.101,0.221211396,58Y2,3.771,0.224748295,42,yes,yes,M,189,189,140,0.9684,0.134333912,16,1.03455,0.135911736,16,0.4895,0.1287,0.4772,0.1223,0.127372082,48,501.6155,48.54769943,16,493.9395,47.54525928,16,-0.1598,0.1254,-0.1557,0.1192,0.125252526,48,"Fig5, Fig4",g/day,CC vs. HFCon; 
2,ES283,"Comp1260,Comp1261,Comp1262,Comp1263,Comp1264,Comp1265,Comp1266,Comp1267,Comp1268,Comp1269,Comp1270,Comp1271,Comp1272,Comp1273,Comp1274,Comp1275,Comp1276,Comp1277,Comp1278,Comp1279",Exp152,Study100,yes,2,Exp152_M_1_SC,Desai,2014,Am J Obstet Gynecol,rat,Sprague-Dawley,chow,-56,42,yes,98,58Y2,3.771,0.224748295,58Y1,5.101,0.221211396,58Y2,3.771,0.224748295,42,yes,yes,M,189,189,140,0.9684,0.134333912,16,1.0385,0.158966663,16,0.4763,0.1285,0.4643,0.1221,0.127245568,48,501.6155,48.54769943,16,593.3765,66.36581891,16,1.5782,0.1639,1.5384,0.1558,0.14965286,48,"Fig5, Fig4",g/day,CC vs. HFHF; 
3,ES285,"Comp1300,Comp1301,Comp1302,Comp1303,Comp1304,Comp1305,Comp1306,Comp1307,Comp1308,Comp1309,Comp1310,Comp1311,Comp1312,Comp1313,Comp1314,Comp1315,Comp1316,Comp1317,Comp1318,Comp1319",Exp152,Study100,yes,1,Exp152_F_1_SC,Desai,2014,Am J Obstet Gynecol,rat,Sprague-Dawley,chow,-56,42,yes,98,58Y2,3.771,0.224748295,58Y1,5.101,0.221211396,58Y2,3.771,0.224748295,42,yes,yes,F,189,189,140,1.0015,0.154166144,16,0.95515,0.161336915,16,-0.2937,0.1263,-0.2863,0.1201,0.12585383,48,298.6775,36.66465982,16,336.5355,37.20264507,16,1.025,0.1414,0.9992,0.1344,0.135400007,48,"Fig5, Fig4",g/day,CC vs. HFHF; 
4,ES286,"Comp1320,Comp1321,Comp1322,Comp1323,Comp1324,Comp1325,Comp1326,Comp1327,Comp1328,Comp1329,Comp1330,Comp1331,Comp1332,Comp1333,Comp1334,Comp1335,Comp1336,Comp1337,Comp1338,Comp1339",Exp152,Study100,yes,2,Exp152_F_1_SC,Desai,2014,Am J Obstet Gynecol,rat,Sprague-Dawley,chow,-56,21,no,77,58Y2,3.771,0.224748295,58Y1,5.101,0.221211396,58Y2,3.771,0.224748295,42,yes,yes,F,189,189,140,1.0015,3.796402192,16,1.05565,0.196352744,16,0.0201,0.125,0.0196,0.1188,0.125004002,48,298.6775,1161.895277,16,282.0845,40.44956465,16,-0.0202,0.125,-0.0197,0.1188,0.125004043,48,"Fig5, Fig4",g/day,CC vs. HFCon; 
5,ES303,Comp1434,Exp160,Study108,no,1,Exp160_M_0_1,Magliano,2013,Plos ONE,mouse,C57BL/6J,chow,-56,42,yes,98,AIN93G,3.966,0.232442511,AIN93G_HF,4.95,0.228287841,AIN93G,3.966,0.232442511,42,,no,M,126,126,14,0.754,0.088543774,10,0.85,0.082219219,10,1.1236,0.2316,1.0761,0.2124,0.232166423,20,26.61,1.739252713,10,29.31,1.328156617,10,1.7448,0.2761,1.6711,0.2533,0.277571534,20,Tab4,g/day,SC vs. HF; 
6,ES309,Comp1464,Exp163,Study111,no,1,Exp163_M_0_1,Ornellas,2013,Life Sci,mouse,C57BL/6J,choice,-22,42,no,64,AIN93G,3.966,0.232442511,AIN93G_HF,4.95,0.228287841,AIN93G,3.966,0.232442511,42,yes,no,M,105,105,63,0.951,0.079056942,10,1.031,0.069570109,10,1.0743,0.2289,1.0289,0.2099,0.229406534,20,21.25,1.229837388,5,24.28,1.050951949,5,2.6488,0.7508,2.3925,0.6125,0.757753516,10,"Tab3, Fig3",g/day,Mo-SC vs. Mo-HF; 
7,ES310,Comp1465,Exp163,Study111,no,1,Exp163_F_0_1,Ornellas,2013,Life Sci,mouse,C57BL/6J,choice,-22,42,no,64,AIN93G,3.966,0.232442511,AIN93G_HF,4.95,0.228287841,AIN93G,3.966,0.232442511,42,yes,no,F,105,105,63,0.989,0.082219219,10,1.013,0.056920998,10,0.3394,0.2029,0.3251,0.1861,0.202935834,20,15.24,0.827345152,5,18.62,0.626099034,5,4.6071,1.4613,4.1612,1.1921,1.48222409,10,"Tab3, Fig3",g/day,Mo-SC vs. Mo-HF; 
8,ES329,"Comp1537,Comp1538,Comp1539,Comp1540,Comp1541,Comp1542,Comp1543,Comp1544,Comp1545",Exp175,Study121,no,1,Exp175_M_0_1,Zhang,2011,J Nutr,rat,Sprague-Dawley,chow,0,42,yes,42,AIN93G,3.966,0.232442511,D12451,4.76,0.252631579,AIN93G,3.966,0.232442511,42,yes,no,M,105,105,63,1.382555556,0.690357395,10,1.319555556,0.54922855,9,-0.1003,0.2114,-0.0958,0.1929,0.211381042,19,303.0966667,57.89507175,10,307.38,51.03694838,9,0.0782,0.2113,0.0747,0.1928,0.211275231,19,SFig1,g/day,C/C vs.HF/C; control diet specification does not match manufactured - used closest by composition US diet
9,ES102,"Comp0493,Comp0495",Exp055,Study039,yes,1,Exp055_M_1_SC,Chang,2008,J Neurosci,rat,Sprague-Dawley,chow,6,43,yes,37,BD_US1,4.2,0.235294118,HFD_US2,5.148,0.181818182,BD_US1,4.2,0.235294118,43,yes,no,M,92,92,41,1.409,1.025865488,6,1.481,0.618390653,6,0.085,0.3336,0.0785,0.2843,0.333504507,18,228.045,42.56644101,6,290.6,39.74742633,6,1.519,0.4295,1.4022,0.3659,0.387949023,18,Fig1,kcal/day,BD vs HF; no exact number of dams or their age
10,ES103,"Comp0494,Comp0496",Exp055,Study039,yes,2,Exp055_M_1_SC,Chang,2008,J Neurosci,rat,Sprague-Dawley,chow,6,22,no,16,BD_US1,4.2,0.235294118,HFD_US2,5.148,0.181818182,BD_US1,4.2,0.235294118,21,yes,yes,M,92,92,41,1.409,1.025865488,6,1.468,0.72518963,6,0.0664,0.3335,0.0613,0.2842,0.333437714,18,228.045,42.56644101,6,270.125,33.81261303,6,1.0947,0.3833,1.0105,0.3266,0.361697507,18,Fig1,kcal/day,BD vs HFD-BD; no exact number of dams or their age
