diet_code,diet_description,diet_type,diet_data_source,species,prot_pww,carb_pww,fat_pww,calc_Energy_kcal_g,prot_pE,carb_pE,fat_pE,PC_ratio,PNP_ratio,diet_comments
AIN93G,"AIN-93G diet, US v1 (standard, from manufacturer)",comm,manuf,rodents,18.7,64.7,7.0,3.966,18.9,65.3,15.9,0.289,0.261,some mismatches with the Shankar et al. 2008
AIN93M,"AIN-93M diet, US v1 (standard, from manufacturer)",comm,manuf,rodents,14.2,73.1,4.0,3.852,14.7,75.9,9.3,0.194,0.184,some mismatches with the Shin 2012
BKunivUK,B&K Universal Rodent Diet UK,comm,manuf,rodents,19.7,68.3,4.1,3.889,20.2,70.2,9.6,0.288,0.272,
CQmaint,Carfil Quality rats and mice maintenance,comm,manuf,rodents,16.5,39.0,3.5,2.535,26.0,61.5,12.4,0.423,0.388,
D12450B,ResearchDiets D12450B,comm,manuf,rodents,19.2,67.3,4.3,3.847,20.0,70.0,10.1,0.285,0.268,
D12451,ResearchDiets D12451,comm,manuf,rodents,24.0,41.0,24.0,4.760,20.2,34.5,45.4,0.585,0.369,
D12492,ResearchDiets D12492,comm,manuf,rodents,26.2,26.3,34.9,5.241,20.0,20.1,59.9,0.996,0.428,
HopeFarm08,Hope Farm 8% protein ,comm,manuf,rodents,9.0,76.1,4.3,3.791,9.5,80.3,10.2,0.118,0.112,"ass. data in the paper is for total energy, % energy calculated from composition"
HopeFarm20,Hope Farm 20% protein ,comm,manuf,rodents,22.0,63.1,4.3,3.791,23.2,66.6,10.2,0.349,0.326,"ass. data in the paper is for total energy, % energy calculated from composition"
Porton_RD,"Porton Rodent Diet, UK",comm,Roe et al. 1995,rodents,19.8,38.5,3.0,2.602,30.4,59.2,10.4,0.514,0.477,diet composition based on The Biosure Study paper by Roe et al. 1995
ProlabRMH2500,Prolab RMH 2500 5R24 standard diet,comm,manuf,rodents,24.9,49.3,4.8,3.400,29.3,58.0,12.7,0.505,0.460,
Purina_US1,"Purina Laboratory Chow, Ralston Purina, US v1 (now Lab Diet 5001)",comm,manuf,rodents,23.9,48.7,5.0,3.354,28.5,58.1,13.4,0.491,0.445,diet composition based on the current diet fact sheet from LabDiet
PurinaHF_US1,"Purina Laboratory Chow, Ralston Purina, US v1 (now Lab Diet 5001) with fat added",custom,Jones et al. 1984,rodents,15.8,32.1,37.3,5.273,12.0,24.4,63.7,0.492,0.228,
RM1,Special Diet Services UK RM1,comm,manuf,rodents,14.4,61.7,2.7,3.285,17.5,75.1,7.4,0.233,0.223,
RM3v1,Special Diet Services UK RM3 v1,comm,manuf,rodents,21.9,51.2,4.2,3.298,26.5,62.1,11.4,0.427,0.395,
RM3v2,Special Diet Services UK RM3 v2,comm,Nivoit 2009,rodents,15.0,57.0,3.0,3.150,19.0,72.4,8.6,0.263,0.250,"ass. data in the paper is for total energy, % energy calculated from composition"
stdAltromin,"standard rat maintenence diet, Altromin, Germany",comm,manuf,rodents,19.0,53.0,4.0,3.240,23.5,65.4,11.1,0.358,0.333,assumed diet nr 1320
stdCRMX_UK,"standard nonpurifiet diet, CRMX, Special Diet Services, UK",comm,Langley et al. 1994,rodents,18.9,60.0,2.3,3.363,22.5,71.4,6.2,0.315,0.303,
stdSAFE,"standard chow SAFE A04/D04, Augy, France",comm,Breton et al. 2009,rodents,16.0,60.0,3.0,3.310,19.3,72.5,8.2,0.267,0.254,
Teklad06414,Teklad TD06414 high-fat diet,comm,manuf,rodents,23.5,27.3,34.3,5.119,18.4,21.3,60.3,0.861,0.381,assumed 0.9 and that the diet is not changed in composition over years
Teklad2018,Teklad Global 18% Protein Rodent Diet 2018,comm,manuf,rodents,18.6,44.2,6.2,3.070,24.2,57.6,18.2,0.421,0.369,
Teklad2018HF,Teklad Global 18% Protein Rodent Diet 2018 HF,comm,Krechowiec et al. 2006,rodents,28.7,31.1,30.0,5.092,22.5,24.4,53.0,0.923,0.470,
Teklad71305,Teklad TD85419 zinc deficient diet (former TD71305),comm,manuf,rodents,20.0,63.4,10.0,4.236,18.9,59.9,21.2,0.315,0.272,"ass. that the diet has not changed in composition over years, zinc supplemented in water"
AIN93G_CTD_JP1,Nakashima lab custom control diet,custom,Nakashima et al. 2008,rodents,20.0,62.9,7.0,3.946,20.3,63.8,16.0,0.318,0.286,energy contributions from Table 1 in Nakashima 2008
