Comp_ID,ES_ID,Exp_ID,Study_ID,First_author,Year,Journal_ID,J_abbr_name,J_IF,animal,Strain,Dam_intake_measured,Dam_VitMin_eql,Dam_AdLib_contr,Dam_AdLib_exp,Dam_caloric_restr,Dam_choice_diet,Dam_diet_code_contr,Dam_diet_code_exp,Dam_diet_start_exp_dPC,Dam_diet_end_exp_dPC,Dam_diet_start_exp_dPC_RAT,Dam_diet_end_exp_dPC_RAT,Dam_diet_lactation_incl,Dam_age_mating_d,Dam_N_contr,Dam_N_exp,Temperature,Photoperiod,Litter_size,Litter_size_equalized,Offspr_crossfosterd,Offspr_sex,Offspr_housing,Offspr_diet_code,Offspr_choice_diet,Offspr_diet_start_dPC,Intake_age_dPC,TBodyweight_age_dPC,Intake_duration,RelIntake_mean_contr,RelIntake_SE_contr,RelIntake_N_contr,RelIntake_mean_exp,RelIntake_SE_exp,RelIntake_N_exp,RelIntake_Cd,RelIntake_Hd,RelIntake_HdVar,Bodyweight_mean_contr,Bodyweight_SE_contr,Bodyweight_N_contr,Bodyweight_mean_exp,Bodyweight_SE_exp,Bodyweight_N_exp,Bodyweight_Cd,Bodyweight_Hd,Bodyweight_HdVar,AbsIntake_mean_contr,AbsIntake_SE_contr,AbsIntake_N_contr,AbsIntake_mean_exp,AbsIntake_SE_exp,AbsIntake_N_exp,AbsIntake_Cd,AbsIntake_Hd,AbsIntake_HdVar,RelIntake2_mean_contr,RelIntake2_SE_contr,RelIntake_N_contr,RelIntake2_mean_exp,RelIntake2_SE_exp,RelIntake_N_exp,RelIntake2_Cd,RelIntake2_Hd,RelIntake2_HdVar,Offspr_data_source,Comments,Preference,IntakeTBW_SE_imputed,TBodyweight_SE_imputed,Comments,Original_measur_units,Paper_topic,Suppl_files
Comp0056,ES036,Exp017,Study016,Khan,2003,J009,Hypertension,6.908,rat,Sprague-Dawley,yes,yes,yes,yes,0,0,RM3v1,RM3lard,-10,44,-10,44,1,,12,14,,,8,yes,no,M,not known,RM1,0,44,50,50,7,0.9282,0.2681,12,0.5410,0.0939,14,-0.570,-0.552,0.161,46.47,12.30,12,77.22,11.62,14,0.714,0.691,0.165,43.13,16.90,12,41.78,9.60,14,-0.028,-0.028,0.155,2.423,1.146,12.000,1.604,0.440,14.000,-0.278,-0.269,0.156,Fig1c,"males: Control vs. Lard fed, food intake per g calculated using body weighs Fig1a",0,0,0,"not sure about N per group, no info on temperature and photoperiod, housing",g/day,0,calculations_MAME_FB_Comp056to0083
Comp0057,ES036,Exp017,Study016,Khan,2003,J009,Hypertension,6.908,rat,Sprague-Dawley,yes,yes,yes,yes,0,0,RM3v1,RM3lard,-10,44,-10,44,1,,12,14,,,8,yes,no,M,not known,RM1,0,44,57,57,7,0.5297,0.0726,12,0.4113,0.0389,14,-0.589,-0.570,0.162,109.34,10.93,12,140.09,9.57,14,0.836,0.810,0.168,57.92,9.83,12,57.62,6.72,14,-0.010,-0.010,0.155,1.713,0.337,12.000,1.415,0.191,14.000,-0.314,-0.304,0.157,Fig1c,"males: Control vs. Lard fed, food intake per g calculated using body weighs Fig1a",0,0,0,"not sure about N per group, no info on temperature and photoperiod, housing",g/day,0,calculations_MAME_FB_Comp056to0083
Comp0058,ES036,Exp017,Study016,Khan,2003,J009,Hypertension,6.908,rat,Sprague-Dawley,yes,yes,yes,yes,0,0,RM3v1,RM3lard,-10,44,-10,44,1,,12,14,,,8,yes,no,M,not known,RM1,0,44,64,64,7,0.4641,0.0414,12,0.3978,0.0307,14,-0.515,-0.499,0.160,159.91,11.62,12,200.23,13.67,14,0.868,0.840,0.169,74.21,8.54,12,79.64,8.20,14,0.180,0.174,0.155,1.650,0.225,12.000,1.496,0.185,14.000,-0.210,-0.204,0.156,Fig1c,"males: Control vs. Lard fed, food intake per g calculated using body weighs Fig1a",0,0,0,"not sure about N per group, no info on temperature and photoperiod, housing",g/day,0,calculations_MAME_FB_Comp056to0083
Comp0059,ES036,Exp017,Study016,Khan,2003,J009,Hypertension,6.908,rat,Sprague-Dawley,yes,yes,yes,yes,0,0,RM3v1,RM3lard,-10,44,-10,44,1,,12,14,,,8,yes,no,M,not known,RM1,0,44,72,72,8,0.3677,0.0306,12,0.3521,0.0205,14,-0.171,-0.166,0.155,235.08,17.08,12,263.10,13.67,14,0.510,0.494,0.160,86.43,9.54,12,92.62,7.22,14,0.207,0.200,0.156,1.440,0.190,12.000,1.418,0.133,14.000,-0.038,-0.037,0.155,Fig1c,"males: Control vs. Lard fed, food intake per g calculated using body weighs Fig1a",0,0,0,"not sure about N per group, no info on temperature and photoperiod, housing",g/day,0,calculations_MAME_FB_Comp056to0083
Comp0060,ES036,Exp017,Study016,Khan,2003,J009,Hypertension,6.908,rat,Sprague-Dawley,yes,yes,yes,yes,0,0,RM3v1,RM3lard,-10,44,-10,44,1,,12,14,,,8,yes,no,M,not known,RM1,0,44,78,78,6,0.3379,0.0196,12,0.3177,0.0121,14,-0.355,-0.344,0.157,289.75,12.98,12,326.65,10.25,14,0.889,0.861,0.170,97.90,7.18,12,103.79,5.13,14,0.268,0.259,0.156,1.394,0.120,12.000,1.351,0.079,14.000,-0.122,-0.118,0.155,Fig1c,"males: Control vs. Lard fed, food intake per g calculated using body weighs Fig1a",0,0,0,"not sure about N per group, no info on temperature and photoperiod, housing",g/day,0,calculations_MAME_FB_Comp056to0083
Comp0061,ES036,Exp017,Study016,Khan,2003,J009,Hypertension,6.908,rat,Sprague-Dawley,yes,yes,yes,yes,0,0,RM3v1,RM3lard,-10,44,-10,44,1,,12,14,,,8,yes,no,M,not known,RM1,0,44,85,85,7,0.3097,0.0143,12,0.3058,0.0160,14,-0.069,-0.067,0.155,344.42,12.98,12,354.67,17.77,14,0.178,0.172,0.155,106.65,6.36,12,108.46,7.86,14,0.069,0.067,0.155,1.334,0.094,12.000,1.327,0.117,14.000,-0.018,-0.017,0.155,Fig1c,"males: Control vs. Lard fed, food intake per g calculated using body weighs Fig1a",0,0,0,"not sure about N per group, no info on temperature and photoperiod, housing",g/day,0,calculations_MAME_FB_Comp056to0083
Comp0062,ES036,Exp017,Study016,Khan,2003,J009,Hypertension,6.908,rat,Sprague-Dawley,yes,yes,yes,yes,0,0,RM3v1,RM3lard,-10,44,-10,44,1,,12,14,,,8,yes,no,M,not known,RM1,0,44,92,92,7,0.2844,0.0127,12,0.2797,0.0126,14,-0.103,-0.100,0.155,381.32,15.03,12,396.36,16.40,14,0.262,0.254,0.156,108.46,6.45,12,110.88,6.78,14,0.100,0.097,0.155,1.257,0.090,12.000,1.248,0.092,14.000,-0.027,-0.026,0.155,Fig1c,"males: Control vs. Lard fed, food intake per g calculated using body weighs Fig1a",0,0,0,"not sure about N per group, no info on temperature and photoperiod, housing",g/day,0,calculations_MAME_FB_Comp056to0083
Comp0063,ES036,Exp017,Study016,Khan,2003,J009,Hypertension,6.908,rat,Sprague-Dawley,yes,yes,yes,yes,0,0,RM3v1,RM3lard,-10,44,-10,44,1,,12,14,,,8,yes,no,M,not known,RM1,0,44,100,100,8,0.2597,0.0099,12,0.2528,0.0081,14,-0.216,-0.209,0.156,414.12,12.30,12,438.04,10.25,14,0.593,0.574,0.162,107.56,5.19,12,110.73,4.39,14,0.185,0.179,0.155,1.172,0.066,12.000,1.156,0.053,14.000,-0.071,-0.069,0.155,Fig1c,"males: Control vs. Lard fed, food intake per g calculated using body weighs Fig1a",0,0,0,"not sure about N per group, no info on temperature and photoperiod, housing",g/day,0,calculations_MAME_FB_Comp056to0083
Comp0064,ES036,Exp017,Study016,Khan,2003,J009,Hypertension,6.908,rat,Sprague-Dawley,yes,yes,yes,yes,0,0,RM3v1,RM3lard,-10,44,-10,44,1,,12,14,,,8,yes,no,M,not known,RM1,0,44,106,106,6,0.2561,0.0099,12,0.2386,0.0065,14,-0.597,-0.578,0.162,435.31,14.35,12,464.69,9.57,14,0.688,0.666,0.164,111.48,5.67,12,110.88,3.78,14,-0.036,-0.035,0.155,1.170,0.071,12.000,1.108,0.044,14.000,-0.301,-0.292,0.157,Fig1c,"males: Control vs. Lard fed, food intake per g calculated using body weighs Fig1a",0,0,0,"not sure about N per group, no info on temperature and photoperiod, housing",g/day,0,calculations_MAME_FB_Comp056to0083
Comp0065,ES036,Exp017,Study016,Khan,2003,J009,Hypertension,6.908,rat,Sprague-Dawley,yes,yes,yes,yes,0,0,RM3v1,RM3lard,-10,44,-10,44,1,,12,14,,,8,yes,no,M,not known,RM1,0,44,113,113,7,0.2535,0.0071,12,0.2296,0.0067,14,-0.962,-0.932,0.173,455.81,10.25,12,496.13,0.68,14,1.672,1.619,0.209,115.56,4.16,12,113.90,3.33,14,-0.124,-0.120,0.155,1.171,0.050,12.000,1.083,0.032,14.000,-0.604,-0.585,0.162,Fig1c,"males: Control vs. Lard fed, food intake per g calculated using body weighs Fig1a",0,0,0,"not sure about N per group, no info on temperature and photoperiod, housing",g/day,0,calculations_MAME_FB_Comp056to0083
